[inf] 2017-03-13 17:28:06 | Lisk started: 0.0.0.0:8000
[dbg] 2017-03-13 17:28:06 | Loading module - server
[dbg] 2017-03-13 17:28:06 | Loading module - accounts
[dbg] 2017-03-13 17:28:06 | Loading module - transactions
[dbg] 2017-03-13 17:28:06 | Loading module - blocks
[dbg] 2017-03-13 17:28:06 | Loading module - signatures
[dbg] 2017-03-13 17:28:06 | Loading module - transport
[dbg] 2017-03-13 17:28:06 | Loading module - loader
[dbg] 2017-03-13 17:28:06 | Loading module - system
[dbg] 2017-03-13 17:28:06 | Loading module - peers
[dbg] 2017-03-13 17:28:06 | Loading module - delegates
[dbg] 2017-03-13 17:28:06 | Loading module - rounds
[dbg] 2017-03-13 17:28:06 | Loading module - multisignatures
[dbg] 2017-03-13 17:28:06 | Loading module - dapps
[dbg] 2017-03-13 17:28:07 | Loading module - crypto
[dbg] 2017-03-13 17:28:07 | Loading module - sql
[dbg] 2017-03-13 17:28:07 | Releasing enqueued broadcasts
[dbg] 2017-03-13 17:28:07 | Queue empty
[trc] 2017-03-13 17:28:07 | Logic/Transaction->bindModules
[trc] 2017-03-13 17:28:07 | Logic/Peers->bind
[inf] 2017-03-13 17:28:07 | Modules ready and launched
[inf] 2017-03-13 17:28:08 | Blocks 2312672
[inf] 2017-03-13 17:28:08 | Genesis block matched with database
[inf] 2017-03-13 17:28:11 | Blockchain ready
[trc] 2017-03-13 17:28:11 | Peers->insertSeeds
[trc] 2017-03-13 17:28:11 | Processing seed peer: 40.68.214.86:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 40.68.214.86:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 13.70.207.248:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 13.70.207.248:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 13.89.42.130:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 13.89.42.130:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 52.160.98.183:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 52.160.98.183:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 40.121.84.254:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 40.121.84.254:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 40.69.40.11:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 40.69.40.11:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 51.140.181.131:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.140.181.131:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 52.187.55.110:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 52.187.55.110:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 191.234.176.37:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 191.234.176.37:8000
[trc] 2017-03-13 17:28:11 | Processing seed peer: 13.73.116.99:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 13.73.116.99:8000
[dbg] 2017-03-13 17:28:11 | No delegates enabled
[dbg] 2017-03-13 17:28:11 | Transaction pool size: 0
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 40.68.214.86:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"40.68.214.86","port":8000,"state":2,"string":"40.68.214.86:8000","updated":1489426091355}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":1,"alive":1,"empty_height":1,"empty_broadhash":1}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 51.140.181.131:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"51.140.181.131","port":8000,"state":2,"string":"51.140.181.131:8000","updated":1489426091358}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":2,"alive":2,"empty_height":2,"empty_broadhash":2}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 13.70.207.248:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"13.70.207.248","port":8000,"state":2,"string":"13.70.207.248:8000","updated":1489426091382}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":3,"alive":3,"empty_height":3,"empty_broadhash":3}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 40.69.40.11:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"40.69.40.11","port":8000,"state":2,"string":"40.69.40.11:8000","updated":1489426091392}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":4,"alive":4,"empty_height":4,"empty_broadhash":4}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 40.121.84.254:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"40.121.84.254","port":8000,"state":2,"string":"40.121.84.254:8000","updated":1489426091505}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":5,"alive":5,"empty_height":5,"empty_broadhash":5}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 13.89.42.130:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"13.89.42.130","port":8000,"state":2,"string":"13.89.42.130:8000","updated":1489426091569}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":6,"alive":6,"empty_height":6,"empty_broadhash":6}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 52.160.98.183:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"52.160.98.183","port":8000,"state":2,"string":"52.160.98.183:8000","updated":1489426091662}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":7,"alive":7,"empty_height":7,"empty_broadhash":7}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 52.187.55.110:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"52.187.55.110","port":8000,"state":2,"string":"52.187.55.110:8000","updated":1489426091700}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":8,"alive":8,"empty_height":8,"empty_broadhash":8}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 191.234.176.37:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"191.234.176.37","port":8000,"state":2,"string":"191.234.176.37:8000","updated":1489426091720}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":9,"alive":9,"empty_height":9,"empty_broadhash":9}
[dbg] 2017-03-13 17:28:11 | Inserted new peer - 13.73.116.99:8000
[trc] 2017-03-13 17:28:11 | Inserted new peer - {"peer":{"ip":"13.73.116.99","port":8000,"state":2,"string":"13.73.116.99:8000","os":"linux4.4.0-45-generic","version":"0.6.0","broadhash":"0c6dbf0a42fc829fb20afb05098356f9841686a09941bc0c3cc0001cbf2b3dfe","height":2312888,"updated":1489426091966}}
[trc] 2017-03-13 17:28:11 | Peer stats - {"total":10,"alive":10,"empty_height":9,"empty_broadhash":9}
[trc] 2017-03-13 17:28:11 | Peers->insertSeeds - Peers discovered - {"updated":10,"total":10}
[trc] 2017-03-13 17:28:11 | Importing peers from database
[inf] 2017-03-13 17:28:11 | Imported peers from database - {"count":320}
[trc] 2017-03-13 17:28:11 | Pinging peer: 85.214.245.14:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 85.214.84.52:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.49.12.178:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.32.156.172:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 37.228.132.139:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 139.162.183.90:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 94.237.25.87:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.63.117.136:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 178.254.38.88:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 13.95.221.21:6040
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.76.80.61:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.32.159.112:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 46.101.234.199:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 188.68.35.72:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.162.248.11:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 104.207.130.143:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 37.120.184.180:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.32.154.160:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 104.207.130.189:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.101.92.46:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 144.76.44.243:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 138.201.245.151:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 62.138.6.4:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 88.99.60.200:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.136.81.40:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 89.40.125.40:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.170.112.55:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.76.32.209:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 188.68.34.87:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 88.99.71.240:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 94.177.12.148:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.101.93.203:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.91.204:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.255.173.192:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 173.212.203.32:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.89.114:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 79.137.37.192:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 88.99.33.155:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 149.202.44.71:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.135.52.97:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 173.212.203.31:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 164.132.108.66:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.255.170.114:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 37.48.109.182:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.135.22.94:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.63.40.58:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 173.212.203.16:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 82.196.5.177:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 94.23.250.111:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.121.169.212:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.136.92.220:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.32.237.116:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.1.222:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.144.33:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 95.183.52.176:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.154.211:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.32.89.70:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 173.212.202.167:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.36.212:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 167.114.247.240:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.135.52.96:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.100.75:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 92.222.81.79:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.249.110:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.121.78.92:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.190.218:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.169.111:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.167.169:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.92.221.6:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.136.79.222:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.129.197:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.98.108:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.81.166.199:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.47.230.66:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.82.141:8000
