[inf] 2019-02-18 17:16:14 | Starting the app - devnet-4000 - Lisk Framework(0.1.0)
[inf] 2019-02-18 17:16:14 | Initializing controller
[inf] 2019-02-18 17:16:14 | Loading controller
[inf] 2019-02-18 17:16:14 | Loading module with alias: chain(lisk-core-chain:0.1.0)
[inf] 2019-02-18 17:16:14 | Module ready with alias: chain(lisk-core-chain:0.1.0)
[inf] 2019-02-18 17:16:14 | Bus listening to events - ["lisk:ready","chain:registeredToBus","chain:loading:started","chain:loading:finished"]
[inf] 2019-02-18 17:16:14 | Bus ready for actions - ["lisk:getComponentConfig"]
[log] 2019-02-18 17:16:14 | App started...
[dbg] 2019-02-18 17:16:14 | Initiating cache...
[dbg] 2019-02-18 17:16:14 | Initiating storage...
[inf] 2019-02-18 17:16:15 | App connected to Cache server
[inf] 2019-02-18 17:16:15 | Socket Cluster ready for incoming connections
[dbg] 2019-02-18 17:16:15 | Loading module - accounts
[dbg] 2019-02-18 17:16:15 | Loading module - blocks
[dbg] 2019-02-18 17:16:15 | Loading module - dapps
[dbg] 2019-02-18 17:16:15 | Loading module - delegates
[dbg] 2019-02-18 17:16:15 | Loading module - rounds
[dbg] 2019-02-18 17:16:15 | Loading module - loader
[dbg] 2019-02-18 17:16:15 | Loading module - multisignatures
[dbg] 2019-02-18 17:16:15 | Loading module - peers
[dbg] 2019-02-18 17:16:15 | Loading module - system
[dbg] 2019-02-18 17:16:15 | Loading module - signatures
[dbg] 2019-02-18 17:16:15 | Loading module - transactions
[dbg] 2019-02-18 17:16:15 | Loading module - transport
[inf] 2019-02-18 17:16:15 | Releasing enqueued broadcasts
[inf] 2019-02-18 17:16:15 | Queue empty
[inf] 2019-02-18 17:16:16 | Lisk started: 0.0.0.0:4000
[inf] 2019-02-18 17:16:16 | Modules ready and launched
[inf] 2019-02-18 17:16:16 | Blocks 5555
[inf] 2019-02-18 17:16:16 | Genesis block matched with database
[inf] 2019-02-18 17:16:16 | Validating current block with height 5555
[inf] 2019-02-18 17:16:16 | Loader->validateBlock Validating block 13672107059575680742 at height 5555
[dbg] 2019-02-18 17:16:16 | {"id":"13672107059575680742","version":1,"timestamp":86392320,"height":5555,"previousBlock":"2098616488686830472","numberOfTransactions":0,"totalAmount":"0","totalFee":"0","reward":"500000000","payloadLength":0,"payloadHash":"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","generatorPublicKey":"0186d6cbee0c9b1a9783e7202f57fc234b1d98197ada1cc29cfbdf697a636ef1","generatorId":"17110047919889272525L","blockSignature":"2063630863794ad2828299806b6eacec3d940397e8c659e6461fc022d0b67f0b518db0b72e8dd1af833161ff126427522407c3af8d1ef5ec84f508b50484400b","confirmations":1,"transactions":[],"totalForged":"500000000"}
[dbg] 2019-02-18 17:16:16 | Loader->validateBlock Setting temporarily last block to height 5554.
[inf] 2019-02-18 17:16:16 | Verify->verifyBlock succeeded for block 13672107059575680742 at height 5555.
[dbg] 2019-02-18 17:16:16 | Loader->validateBlock Reverting last block to height 5555.
[inf] 2019-02-18 17:16:16 | Loader->validateBlock Validating block succeed for 13672107059575680742 at height 5555.
[inf] 2019-02-18 17:16:16 | Finished validating the chain. You are at height 5555.
[inf] 2019-02-18 17:16:16 | Blockchain ready
[inf] 2019-02-18 17:16:16 | Loading 101 delegates using encrypted passphrases from config
[dbg] 2019-02-18 17:16:16 | Processing seed peer: 127.0.0.1:5000
[dbg] 2019-02-18 17:16:16 | Rejecting unacceptable peer - 127.0.0.1:5000
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 8273455169423958419L
[inf] 2019-02-18 17:16:16 | Imported peers from database - {"count":0}
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 12254605294831056546L
[dbg] 2019-02-18 17:16:16 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2019-02-18 17:16:16 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2019-02-18 17:16:16 | Broadhash consensus: 0 %
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 14018336151296112016L
[inf] 2019-02-18 17:16:16 | Starting sync
[dbg] 2019-02-18 17:16:16 | Establishing broadhash consensus before sync: 0 %
[dbg] 2019-02-18 17:16:16 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[ERR] 2019-02-18 17:16:16 | Failed to get random peer from network
[ERR] 2019-02-18 17:16:16 | Failed to get random peer from network
[dbg] 2019-02-18 17:16:16 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[ERR] 2019-02-18 17:16:16 | Failed to get random peer from network
[ERR] 2019-02-18 17:16:16 | Failed to get random peer from network
[ERR] 2019-02-18 17:16:16 | Failed to get random peer from network
[ERR] 2019-02-18 17:16:16 | Discovering new peers failed - No acceptable peers found
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 2003981962043442425L
[dbg] 2019-02-18 17:16:16 | System headers - {"os":"darwin18.2.0","version":"1.5.0-alpha.2","wsPort":5000,"httpPort":4000,"height":5555,"nethash":"198f2b61a8eb95fbeed58b8216780b68f697f26b849acf00c8c93bb9b24f783d","broadhash":"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","minVersion":"1.0.0","protocolVersion":"1.0","nonce":"QmhNMFAkdrskx43R"}
[dbg] 2019-02-18 17:16:16 | Transport->broadcastHeaders: No peers found
[dbg] 2019-02-18 17:16:16 | Establishing broadhash consensus after sync: 0 %
[inf] 2019-02-18 17:16:16 | Finished sync
[ERR] 2019-02-18 17:16:16 | Unconfirmed transactions loader - Failed to find enough good peers
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 15685993315437640088L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 13796903232533379929L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 10395427086746342233L
[ERR] 2019-02-18 17:16:16 | Signatures loader - Failed to find enough good peers
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 10555862272344793163L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 9090572627256317041L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6147291942291731858L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 1478505779553195737L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 3485190523478756562L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 7749538982696555450L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11858068254874463650L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11959294293312794939L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6572481065061292413L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 537318935439898807L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11194005483892021001L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 12689367895996075612L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 12937672077630275226L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6719024567117648644L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 2185933284430885504L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 263761216888896549L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6996737717246838071L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 17769700073017685523L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 18101328368221611426L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 3654804916322462690L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6214967903930344618L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6700417780469657062L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 17416795040643460696L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 7806545753492919148L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 16807489144327319524L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11009807324631489084L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 5380829552614149409L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 18181157191600196376L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 15279149762694772854L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 15867701141673224975L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 13787002016364430124L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 5312766513260345125L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11613981515632820140L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 4351572711388220555L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11595026565287740051L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 3466073897179860882L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 4331258378288911563L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 9928719876370886655L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 11805364634236927749L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 9703017731198160198L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 162664226572374905L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 14754807200586084685L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6596445655213033387L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 2581762640681118072L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 15064680481049926459L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 6253486079725348800L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 7838076639178338424L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 9824483707960713406L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 12144255005482188703L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 2037513790649430470L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 2371768942272884594L
[inf] 2019-02-18 17:16:16 | Forging enabled on account: 309766985700168161L
